id,nome,status,estado_id
1,AFONSO CLAUDIO,1,8
2,AGUA DOCE DO NORTE,1,8
3,AGUIA BRANCA,1,8
4,ALEGRE,1,8
5,ALFREDO CHAVES,1,8
6,ALTO RIO NOVO,1,8
7,ANCHIETA,1,8
8,APIACA,1,8
9,ARACRUZ,1,8
10,ATILIO VIVACQUA,1,8
11,BAIXO GUANDU,1,8
12,BARRA DE SAO FRANCISCO,1,8
13,BOA ESPERANCA,1,8
14,BOM JESUS DO NORTE,1,8
15,BREJETUBA,1,8
16,CACHOEIRO DE ITAPEMIRIM,1,8
17,CARIACICA,1,8
18,CASTELO,1,8
19,COLATINA,1,8
20,CONCEICAO DA BARRA,1,8
21,CONCEICAO DO CASTELO,1,8
22,DIVINO DE SAO LOURENCO,1,8
23,DOMINGOS MARTINS,1,8
24,DORES DO RIO PRETO,1,8
25,ECOPORANGA,1,8
26,FUNDAO,1,8
27,GOVERNADOR LINDENBERG,1,8
28,GUACUI,1,8
29,GUARAPARI,1,8
30,IBATIBA,1,8
31,IBIRACU,1,8
32,IBITIRAMA,1,8
33,ICONHA,1,8
34,IRUPI,1,8
35,ITAGUACU,1,8
36,ITAPEMIRIM,1,8
37,ITARANA,1,8
38,IUNA,1,8
39,JAGUARE,1,8
40,JERONIMO MONTEIRO,1,8
41,JOAO NEIVA,1,8
42,LARANJA DA TERRA,1,8
43,LINHARES,1,8
44,MANTENOPOLIS,1,8
45,MARATAIZES,1,8
46,MARECHAL FLORIANO,1,8
47,MARILANDIA,1,8
48,MIMOSO DO SUL,1,8
49,MONTANHA,1,8
50,MUCURICI,1,8
51,MUNIZ FREIRE,1,8
52,MUQUI,1,8
53,NOVA VENECIA,1,8
54,PANCAS,1,8
55,PEDRO CANARIO,1,8
56,PINHEIROS,1,8
57,PIUMA,1,8
58,PONTO BELO,1,8
59,PRESIDENTE KENNEDY,1,8
60,RIO BANANAL,1,8
61,RIO NOVO DO SUL,1,8
62,SANTA LEOPOLDINA,1,8
63,SANTA MARIA DE JETIBA,1,8
64,SANTA TERESA,1,8
65,SAO DOMINGOS DO NORTE,1,8
66,SAO GABRIEL DA PALHA,1,8
67,SAO JOSE DO CALCADO,1,8
68,SAO MATEUS,1,8
69,SAO ROQUE DO CANAA,1,8
70,SERRA,1,8
71,SOORETAMA,1,8
72,VARGEM ALTA,1,8
73,VENDA NOVA DO IMIGRANTE,1,8
74,VIANA,1,8
75,VILA PAVAO,1,8
76,VILA VALERIO,1,8
77,VILA VELHA,1,8
78,VITORIA,1,8
79,ACRELANDIA,1,1
80,ASSIS BRASIL,1,1
81,BRASILEIA,1,1
82,BUJARI,1,1
83,CAPIXABA,1,1
84,CRUZEIRO DO SUL,1,1
85,EPITACIOLANDIA,1,1
86,FEIJO,1,1
87,JORDAO,1,1
88,MANCIO LIMA,1,1
89,MANOEL URBANO,1,1
90,MARECHAL THAUMATURGO,1,1
91,PLACIDO DE CASTRO,1,1
92,PORTO ACRE,1,1
93,PORTO WALTER,1,1
94,RIO BRANCO,1,1
95,RODRIGUES ALVES,1,1
96,SANTA ROSA DO PURUS,1,1
97,SENA MADUREIRA,1,1
98,SENADOR GUIOMARD,1,1
99,TARAUACA,1,1
100,XAPURI,1,1
101,AGUA BRANCA,1,2
102,ANADIA,1,2
103,ARAPIRACA,1,2
104,ATALAIA,1,2
105,BARRA DE SANTO ANTONIO,1,2
106,BARRA DE SAO MIGUEL,1,2
107,BATALHA,1,2
108,BELEM,1,2
109,BELO MONTE,1,2
110,BOCA DA MATA,1,2
111,BRANQUINHA,1,2
112,CACIMBINHAS,1,2
113,CAJUEIRO,1,2
114,CAMPESTRE,1,2
115,CAMPO ALEGRE,1,2
116,CAMPO GRANDE,1,2
117,CANAPI,1,2
118,CAPELA,1,2
119,CARNEIROS,1,2
120,CHA PRETA,1,2
121,COITE DO NOIA,1,2
122,COLONIA LEOPOLDINA,1,2
123,COQUEIRO SECO,1,2
124,CORURIPE,1,2
125,CRAIBAS,1,2
126,DELMIRO GOUVEIA,1,2
127,DOIS RIACHOS,1,2
128,ESTRELA DE ALAGOAS,1,2
129,FEIRA GRANDE,1,2
130,FELIZ DESERTO,1,2
131,FLEXEIRAS,1,2
132,GIRAU DO PONCIANO,1,2
133,IBATEGUARA,1,2
134,IGACI,1,2
135,IGREJA NOVA,1,2
136,INHAPI,1,2
137,JACARE DOS HOMENS,1,2
138,JACUIPE,1,2
139,JAPARATINGA,1,2
140,JARAMATAIA,1,2
141,JEQUIA DA PRAIA,1,2
142,JOAQUIM GOMES,1,2
143,JUNDIA,1,2
144,JUNQUEIRO,1,2
145,LAGOA DA CANOA,1,2
146,LIMOEIRO DE ANADIA,1,2
147,MACEIO,1,2
148,MAJOR ISIDORO,1,2
149,MAR VERMELHO,1,2
150,MARAGOGI,1,2
151,MARAVILHA,1,2
152,MARECHAL DEODORO,1,2
153,MARIBONDO,1,2
154,MATA GRANDE,1,2
155,MATRIZ DE CAMARAGIBE,1,2
156,MESSIAS,1,2
157,MINADOR DO NEGRAO,1,2
158,MONTEIROPOLIS,1,2
159,MURICI,1,2
160,NOVO LINO,1,2
161,OLHO D`AGUA DAS FLORES,1,2
162,OLHO D`AGUA DO CASADO,1,2
163,OLHO D`AGUA GRANDE,1,2
164,OLIVENCA,1,2
165,OURO BRANCO,1,2
166,PALESTINA,1,2
