"id","nome","sigla","status"
"1","ACRE","AC","1"
"2","ALAGOAS","AL","1"
"3","AMAZONAS","AM","1"
"4","AMAPA","AP","1"
"5","BAHIA","BA","1"
"6","CEARA","CE","1"
"7","DISTRITO FEDERAL","DF","1"
"8","ESPIRITO SANTO","ES","1"
"9","GOIAS","GO","1"
"10","MARANHAO","MA","1"
"11","MINAS GERAIS","MG","1"
"12","MATO GROSSO DO SUL","MS","1"
"13","MATO GROSSO","MT","1"
"14","PARA","PA","1"
"15","PARAIBA","PB","1"
"16","PERNAMBUCO","PE","1"
"17","PIAUI","PI","1"
"18","PARANA","PR","1"
"19","RIO DE JANEIRO","RJ","1"
"20","RIO GRANDE DO NORTE","RN","1"
"21","RONDONIA","RO","1"
"22","RORAIMA","RR","1"
"23","RIO GRANDE DO SUL","RS","1"
"24","SANTA CATARINA","SC","1"
"25","SERGIPE","SE","1"
"26","SAO PAULO","SP","1"
"27","TOCANTINS","TO","1"
"28","DEFAULT","DT","1"
